NIT|Cod. Depto|Departamento|Cod. Municipio|Municipio|CIIU Rev 4 principal|Descripción CIIU principal|Cadena CIIU principal|Valor agregado empresa|Activos|Ingresos operacionales|Tamaño empresa RUES|Sucursal sociedad extranjera|País domicilio casa matriz|Antigüedad empresa|Tipo* ult 10 años|Cadena* ult 10 años|Sector* ult 10 años|Subsector* ult 10 años|Posara* ult 10 años|Descripcion posara* ult 10 años|Cod. Departamento* ult 10 años|Departamento* ult 10 años|Expo Latam ult 10 años|Expo 2022|Expo prom ult 5 años|Var. Expo 2022|TCAC expo ult 5 años|Trayectoria expo|Cadena segmentación
10|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Agroindustrial|Productos de panadería y molinería|1101000000|Harina de trigo y de morcajo (tranquillón).|08|Atlántico|Si|0,0|22680,0|||Futuros|Agroalimentos
45|5|Antioquia|5001|Medellín|1410|Confección de prendas de vestir, excepto prendas de piel|Sistema Moda|Bienes tecnología baja|4872620000,0|3219216000,0|Pequeña|No|No es sucursal de sociedad extranjera|8,005475701574264|No Mineras|Sistema Moda|Textiles y confecciones|Jeans|6204620000|"Pantalones largos, pantalones con peto, pantalones cortos (calzones) y ""shorts"" de algodón, para mujeres o niñas, excepto los de punto."|05|Antioquia|Si|0,0|1214,672||-100,0|Futuros|Sistema Moda
56|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Sistema Moda|Textiles y confecciones|Ropa casual femenina|6104630000|"Pantalones largos, pantalones con peto, pantalones cortos (calzones) y ""shorts"" de punto, de fibras sintéticas, para mujeres o niñas"|76|Valle del Cauca|No|0,0|0,0|||Futuros|Sistema Moda
60|11|Bogotá, D.C.|11001|Bogotá, D.C.|2229|Fabricación de artículos de plástico n.c.p.|Químicos y Ciencias de la Vida|Bienes tecnología media-baja|3500499088,0|6133082432,0|Pequeña|No|No es sucursal de sociedad extranjera|9,902806297056811|No Mineras|Químicos y Ciencias de la Vida|Envases/empaques|Envases y empaques de caucho|4016993000|Tapones de caucho vulcanizado sin endurecer.|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Químicos y Ciencias de la Vida
75|11|Bogotá, D.C.|11001|Bogotá, D.C.|5911|Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión|Industrias 4.0|Servicios de alta tecnología intensivos en conocimiento|72581228000,0|52742792000,0|Grande|No|No es sucursal de sociedad extranjera|27,89869952087611|No Mineras|Metalmecánica y Otras Industrias|Instrumentos y aparatos|Telecomunicaciones y sonido|8525602000|Aparatos emisores con aparato receptor incorporado, de televisión.|76|Valle del Cauca|No|0,0|0,0|||Futuros|Industrias 4.0
137|11|Bogotá, D.C.|11001|Bogotá, D.C.|210|Silvicultura y otras actividades forestales|Agroalimentos|Bienes primarios|121035748000,0|13109575000,0|Mediana|No|No es sucursal de sociedad extranjera|9,653661875427789|No Mineras|Metalmecánica y Otras Industrias|Muebles y maderas|Madera (muebles y maderas)|4407299000|Las demás maderas tropicales de espesor superior a 6 mm|11|Bogotá, D.C.|No|0,0|104,54|||No Constante|Agroalimentos
143|5|Antioquia|5051|Arboletes|122|Cultivo de plátano y banano|Agroalimentos|Bienes primarios|12000000,0|2921753600,0|Pequeña|No|No es sucursal de sociedad extranjera|5,467488021902806|No Mineras|Agroalimentos|Banano|Plátano|0803101000|"Plátanos ""plantains"", frescos."|05|Antioquia|No|460437,6|134902,00400000002|115,08496984338292||No Constante|Agroalimentos
182|11|Bogotá, D.C.|11001|Bogotá, D.C.|4659|Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.|CIIU no aplica categoría ProColombia|Servicios menos intensivos en conocimiento|23482366000,0|5035682000,0|Mediana|No|No es sucursal de sociedad extranjera|50,6611909650924|No Mineras|Metalmecánica y Otras Industrias|Instrumentos y aparatos|Aparatos eléctricos|8504401000|Unidades de alimentación estabilizada (ups).|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
183|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106190000|Los demás mamíferos vivos|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Agroalimentos
206|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Vehículos y otros medios de transporte|Transporte de pasajeros|8702909090|Los demás vehículos automóviles para el transporte colectivo de personas.|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
