NIT|Cod. Depto|Departamento|Cod. Municipio|Municipio|CIIU Rev 4 principal|Descripción CIIU principal|Cadena CIIU principal|Valor agregado empresa|Activos|Ingresos operacionales|Tamaño empresa RUES|Sucursal sociedad extranjera|País domicilio casa matriz|Antigüedad empresa|Tipo* ult 10 años|Cadena* ult 10 años|Sector* ult 10 años|Subsector* ult 10 años|Posara* ult 10 años|Descripcion posara* ult 10 años|Cod. Departamento* ult 10 años|Departamento* ult 10 años|Expo Latam ult 10 años|Expo 2022|Expo prom ult 5 años|Var. Expo 2022|TCAC expo ult 5 años|Trayectoria expo|Cadena segmentación
75|11|Bogotá, D.C.|11001|Bogotá, D.C.|5911|Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión|Industrias 4.0|Servicios de alta tecnología intensivos en conocimiento|72581228000,0|52742792000,0|Grande|No|No es sucursal de sociedad extranjera|27,89869952087611|No Mineras|Metalmecánica y Otras Industrias|Instrumentos y aparatos|Telecomunicaciones y sonido|8525602000|Aparatos emisores con aparato receptor incorporado, de televisión.|76|Valle del Cauca|No|0,0|0,0|||Futuros|Industrias 4.0
137|11|Bogotá, D.C.|11001|Bogotá, D.C.|210|Silvicultura y otras actividades forestales|Agroalimentos|Bienes primarios|121035748000,0|13109575000,0|Mediana|No|No es sucursal de sociedad extranjera|9,653661875427789|No Mineras|Metalmecánica y Otras Industrias|Muebles y maderas|Madera (muebles y maderas)|4407299000|Las demás maderas tropicales de espesor superior a 6 mm|11|Bogotá, D.C.|No|0,0|104,54|||No Constante|Agroalimentos
191|17|Caldas|17001|Manizales|4632|Comercio al por mayor de bebidas y tabaco|Agroalimentos|Servicios menos intensivos en conocimiento|66283524000,0|89371711000,0|Grande|No|No es sucursal de sociedad extranjera|34,03148528405202|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Agroalimentos
233|76|Valle del Cauca|76001|Santiago De Cali|4390|Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil|Metalmecánica y Otras Industrias|Servicios no clasificados|67615631000,0|17890349000,0|Mediana|No|No es sucursal de sociedad extranjera|12,539356605065024|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Metalmecánica y Otras Industrias
280|11|Bogotá, D.C.|11001|Bogotá, D.C.|8220|Actividades de centros de llamadas (call center)|Industrias 4.0|Servicios menos intensivos en conocimiento|36767955000,0|118808046000,0|Grande|No|No es sucursal de sociedad extranjera|13,579739904175222|No Mineras|Industrias 4.0|Bpo|Bpo|Bpo|Bpo|11|Bogotá, D.C.|Si|5000,0|17666,197999999997|-93,99983127525546||No Constante|Industrias 4.0
338|11|Bogotá, D.C.|11001|Bogotá, D.C.|8220|Actividades de centros de llamadas (call center)|Industrias 4.0|Servicios menos intensivos en conocimiento|7051367000,0|14570984000,0|Mediana|No|No es sucursal de sociedad extranjera|25,09240246406571|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
355|8|Atlántico|8001|Barranquilla|1811|Actividades de impresión|Químicos y Ciencias de la Vida|Bienes tecnología baja|62141298000,0|87914931000,0|Grande|No|No es sucursal de sociedad extranjera|25,232032854209447|No Mineras|Químicos y Ciencias de la Vida|Envases/empaques|Envases y empaques de papel y cartón|4819400000|Los demás sacos (bolsas); bolsitas y cucuruchos, de papel, cartón, guata de celulosa o napas de fibras de celulosa.|08|Atlántico|Si|13131086,07|5270005,68|34,57301335756971|323,6478482532896|Top|Químicos y Ciencias de la Vida
493|11|Bogotá, D.C.|11001|Bogotá, D.C.|4645|Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador|Químicos y Ciencias de la Vida|Servicios menos intensivos en conocimiento|167653302000,0|210548054000,0|Grande|No|No es sucursal de sociedad extranjera|50,70225872689939|No Mineras|Químicos y Ciencias de la Vida|Dotación Hospitalaria|Instrumentos, aparatos y prótesis|9018909000|Los demás instrumentos y aparatos de medicina y cirugía, odontología, o veterinaria no incluidos antes|11|Bogotá, D.C.|Si|499297,21|718734,226|30,823018681123138|1,2238944566828946|Pymex|Químicos y Ciencias de la Vida
559|11|Bogotá, D.C.|11001|Bogotá, D.C.|4659|Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.|CIIU no aplica categoría ProColombia|Servicios menos intensivos en conocimiento|11570101000,0|15881388000,0|Pequeña|No|No es sucursal de sociedad extranjera|28,56399726214921|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8414802100|Los demás compresores  de potencia inferior a 30 kw (40 hp), para vehículos automóviles.|52|Nariño|Si|0,0|525,292|||Futuros|Metalmecánica y Otras Industrias
651|17|Caldas|17001|Manizales|2599|Fabricación de otros productos elaborados de metal n.c.p.|Metalmecánica y Otras Industrias|Bienes tecnología media-baja|20674392000,0|30237394000,0|Mediana|No|No es sucursal de sociedad extranjera|30,22861054072553|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8418999090|Las demas partes de refrigeradores, congeladores y demas material, aunque no sean eléctricos; bombas de calor, exepto las maquinas y aparatos para acondicionamiento de aire de la partida 84.15|17|Caldas|Si|385947,79|77189,55799999999|||Futuros|Metalmecánica y Otras Industrias
